,benefits
1117," suitable for adult dogs 1 year and older , a delicious classic pate made with high-quality animal proteins plus vitamins and minerals , wholesome dog food that is formulated with omega fatty acids to promote healthy skin and a soft coat , made with natural ingredients, is slow-cooked in real broth for a taste dogs can't resist , contains vitamin e to support a strong immune system "
1118," tender chunks of meat in gravy, every dog will love! , made with high-quality protein sources , contains 25% more protein than the leading canned competitor’s adult dog food , fortified with 23 vitamins and minerals for overall well-being , 100% complete and balanced for adult dogs "
1119," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious beef flavor for dogs with refined tastes at any time of day "
1120," made with chicken and duck as the top ingredients to satisfy your pup’s true instincts for high protein. , formulated with vitamins, minerals and antioxidants for immune health and overall well-being. , nutrient-dense formula provides a balanced and complete diet for adult dogs of all breeds. , perfect to give on its own or as a delicious kibble topper that’s great for picky eaters. , crafted in usa facilities with no artificial colors, flavors or preservatives and comes in an easy-to-open can. "
1121," specially formulated for small breeds , made without grain or wheat for sensitive systems , premium protein from lamb and venison and no meat by-products or fillers , unique flavor and texture combination , easy-to-open perfectly portioned containers "
1122," grain-free, gluten-free and all-natural recipe provides perfectly balanced nutrition for dogs of all sizes and life stages. , real beef is the first ingredient for a natural boost of protein without any by-product meals, artificial flavors or fillers. , lovingly made in the usa with only the highest quality, most responsibly sourced and wholesome ingredients available. , chock full of unrefined sources of antioxidants and omega-6 and 3 fatty acids to promote healthy skin and a shiny coat. , packed with the natural goodness of real fruits and veggies for an authentic source of essential vitamins and minerals. "
1123," complete nutrition for puppies features meaty bites of real, tender chicken plus whole grain oatmeal. , balanced protein and fat promotes optimal growth and nourishes healthy development. , nutrient-rich and flavorful recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
1124," an easy, natural meal full of easily-digestible rice and meaty chunks of beef , beef as the first ingredient, no wheat, no gluten, no soy and no corn , healthy and natural formula with added vitamins &amp; minerals , holistic formula packed with the finest ingredients nature has to offer , food is a trusted, widely palatable super premium food great for all breeds "
1125," 100% completed and balanced nutrition for young puppies and their gestating mother. , the ultra soft mousse texture is perfectly adapted for very young puppies. , it's highly palatable and aromatic to encourage young puppies to eat. , scientifically formulated to meet the nutritional and energy needs of mothers during the third trimester and lactation, as well as weaning puppies through two months. , the easy to digest mousse causes less organ stress in mother and babydogs as well as eases the transition from nursing. "
1126," good for both cats and dogs; use as a topper with the evanger’s vegetarian dinner or dry food to entice picky eaters. , fortified with chelated minerals so that nutrients are highly absorbable. , free of grains, gmos, antibiotics, additives, preservatives, and by-products. , exotic, hypo-allergenic protein is perfect for pets with sensitive stomachs. , raw ingredients are hand packed into a can, and then cooked to lock in the nutrients and flavor. made the usa in the family-operated and owned evanger's kitchens. "
1127," all-natural, moist food that features premium chicken free of growth hormones and steroids, wholesome veggies including carrots packed with beta-carotene and vitamin-rich green beans, flaxseed, and b vitamins to provide skin and coat health , slow-cooked to seal in nutrients and maximum flavors your pup will find irresistible , highly digestible protein that’s full of amino acids, fatty acids and minerals to optimize your pup's health , gluten-free recipe for pups with sensitive tummies , no added by-products or fillers, just wholesome ingredients "
1128," holistic grain and gluten free wet dog food ideal for puppies and adult dogs , single-serve cups give just the right portion , ocean fish meal supports overall health and lean muscles , formulated with pumpkin, a great source of soluble fiber to support proper digestion , each solid gold wet food cup contains at least 75% moisture making it a great dietary source of water "
1129," loaded with real meat and a great taste your dog will love , healthy, grain-free, all natural diets with no artificial flavors or colors , balanced nutrition for dogs of all ages and sizes , pre and probiotics as well as oligofructose to help maintain a healthy digestive system , delicious and palatable formula has multiple proteins, ensuring your pup will love their food "
1130," grain-free formula , great for all breeds and all life stages , made with big chunks of turkey and hand-stuffed yukon gold potatoes and carrots in gravy, this new chunky flavor will make any mealtime special , merrick chunky grain free carver’s delight dinner canned dog food contains no artificial colors, flavors or preservatives , delicious, home style chunks that your dog will love "
1131," a delicious blend of wholesome ingredients that includes animal protein and vegetables , the perfect option for a complete and balanced meal or makes a great topper for kibble , added salmon oil helps to maintain a healthy coat and skin , made without any corn, wheat or soy so dogs with food sensitivities can enjoy too , added vitamins and minerals like vitamin a and vitamin b12 help support a healthy immune system "
1132," a hearty dinner that captures the spirit of the open prairies where wolves roamed freely with exotic bayou blend of alligator, catfish and shrimp , made with the meat your dog craves steeped in a savory gravy for an irresistible flavor , fortified with essential vitamins and minerals , no corn, wheat, soy, chicken/poultry by-product meals, artificial preservatives, colors or flavors , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
1133," a grain-free formula that contains chicken as it's first ingredient , contains pure probiotic strains to aid in proper digestion , calcium and phosphorus help your dog maintain strong bones while wholesome vegetables and fruits support optimal immune health , amino acids to support lean muscle mass and a healthy heart , made with added essential vitamins like d, b12 and vitamin a "
1134," high animal protein, grain-free recipe is guided by the belief in raw to unlock your dog’s potential to thrive.  ,  cuts of usa-raised beef, diced carrots and peas in savory gravy offer whole-food ingredients you can see.  ,  made with the finest ingredients from around the world, including natural omega-3 and 6 fatty acids from real foods.  ,  serve as a full meal or mix with kibble for a delicious, healthy way to add mealtime excitement.  ,  made in usa facilities with no grains, corn, wheat, soy or fillers or artificial colors, flavors or preservatives.  "
1135," high animal protein, grain-free recipe is guided by the belief in raw to unlock your dog’s potential to thrive.  ,  cuts of cage-free chicken, diced carrots and peas in savory gravy offer whole-food ingredients you can see.  ,  made with the finest ingredients from around the world, including natural omega-3 and 6 fatty acids from real foods.  ,  serve as a full meal or mix with kibble for a delicious, healthy way to add mealtime excitement.  ,  made in usa facilities with no grains, corn, wheat, soy or fillers or artificial colors, flavors or preservatives.  "
1136," quality, all-natural ingredients including beef, salmon, chicken, vegetable broth, sweet potatoes, whole brown rice, menhaden fish meal, peas, apples and sweet potatoes , wholesome recipes made in the usa that's suitable for dogs of all sizes , natural with added vitamins and minerals and no artificial preservatives , omega 3 &amp; 6 fatty acids to help support healthy skin and a shiny, lustrous coat , can be served as a complete meal on its own or as a delicious kibble topper "
1137," unique, real proteins of turkey, quail and duck bring a tasty variety to your dog’s bowl. , featuring lifebits, a precise blend of vitamins, minerals and antioxidants formulated by animal nutritionists. , inspired by a naturally wild diet, this protein-rich diet caters to your dog’s inner carnivore with no chicken by-product meal. , made with an optimal blend of protein, fat and the healthy complex carbohydrates he needs to thrive. , crafted in the usa with no grains, gluten, corn, wheat or soy or artificial preservatives, colors or flavors. "
1138," low grain, zero carb gourmet dog food made with free-range, hormone &amp; antibiotic-free shredded chicken breast, brown rice, white sweet potato, chopped whole scrambled egg, baby prawns and other nutritious whole food ingredients , lobster consommé is great for adding extra moisture to your dog's diet and helps mimic a biologically appropriate diet , starch and flour free, zero glycemic index , high in protein and suitable for all life stages , sunflower oil, vitamins and minerals are added to create a tasty, balanced meal your pup is sure to love "
1139," unique, 10 oz easy-open can is perfect for picky dogs or dogs who need a little less than standard. this delicious recipe features fresh, high-quality chicken breast and pumpkin in a savory au jus , all of weruva's dogs in the kitchen formulas focus on high quality protein and moderate fat for a nutritious meal your pup is sure to love , recipe contains no grains, starch, msg, gluten or carrageenan so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
1140," delicious, grain-free pate made with quality duck , vitamin b12 supplement boosts gastrointestinal function , biotin nourishes the coat and skin , uses canola oil for quality monounsaturated fat , complete and balanced for everyday feeding "
1141," chunks of cage-free duck with antioxidant-rich fruits and veggies in a sweet potato stew , made with antioxidant-rich fruits &amp; veggies to support overall health and wellness , features glucosamine and chondroitin to help maintain hip and joint health , made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives , chelated minerals for better nutrient absorption "
1142," features a hearty chopped texture with an irresistible taste of chicken, beef and liver. , balanced recipe provides complete nutrition and is highly digestible for easy nutrient absorption. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , soft texture adds flavor and variety to dog’s diets. serve it alone or mix it with kibble. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
1143," 96% healthy protein-rich chicken , grain-free and gluten-free with no artificial colors, flavors or preservatives , rich in dietary fiber, iron and omega fatty acids , formulated for rotational feeding. unlike a conventional feeding plan where the same food is served at each meal, rotational feeding involves varying the menu , with added zinc, copper and iron "
1144," variety pack with hearty flavors of chicken and filet mignon comes in easy-tear, mess-free pouches. , features juicy, meaty bites soaked in gravy and provides a soft texture for flavor and variety. , great to use as a treat, as a kibble topper for added flavor, or as a complete meal. , optimal levels of oil and minerals nourish the skin and coat for a luxurious shine. , proudly made in the usa with the flavors dogs crave and the nutrition they need. "
1145," 100% complete and balanced diet specifically formulated to support a healthy, active lifestyle for adult dogs , savory entrée packed with seared beef complimented by green beans and brown rice smothered in gravy provides the ultimate texture and taste your dog craves , powerful antioxidants support a strong immune system and optimal protein and fat levels help to promote an ideal body composition , omega-6 fatty acids are included to maintain healthy skin and a beautiful shiny coat , proudly manufactured in purina-owned u.s.a facilities and does not contain any added artificial colors, flavors, or preservatives "
1146," gourmet, natural canned dog food with a delicious recipe featuring boneless, skinless chicken breast, pumpkin, carrot, potatoes and green peas in a yummy broth , all of weruva's dog food formulas are formulated with the carnivore in mind, so this recipe focuses on high quality protein, minimal carbs and a high moisture content for the most nutritious meal around for your pup. , recipe is grain-free, gluten-free and carrageenan-free, so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
1147," this formula helps dogs of any breed to maintain a healthy weight. , included l-carnitine helps the body to burn fat by converting fatty acids in energy and promoting lean muscle mass. , balanced ratios of protein and fat provide complete nutrition to your pup and helps to keep them at their healthiest weight. , ideal for small breed adult dogs (up to 22 pounds) that are over 10 months, or for large breed adult dogs (over 22 pounds) that are over 15 months. , made in the usa! "
1148," specially formulated to naturally meet the unique needs of small breed dogs , delicious mini-filets using quality ingredients like roasted chicken, carrots, &amp; red peppers in gravy , contains only premium, all natural ingredients with no wheat, meat by-products, soy or artificial colors and flavors , convenient, easy-open, ready-to-serve container makes mealtime quick and easy , complete and balanced for everyday feeding "
1149," highly versatile - can be used as a complete and balanced meal, a protein supplement to dry food, as a treat, training tool, or as an aid for administering medications. , suitable for all life stages and made from 50% fresh, high quality meat. there's added vitamins and minerals making it complete and balanced nutrition. , there's no grains, corn, wheat, or soy so it's great for pet parents concerned with allergies, obesity, or digestibility. , this formula is highly palatable and easily digested, so your pup can use all the goodness fed to them. , made in the usa! "
1150," a high quality, gluten free diet that’s made specifically for puppies with multiple animal protein sources , yucca schidigera extract aids gastrointestinal system and reduces odor in stool , this unique blend of food is highly digestible allowing for maximum nutrient absorption , added vitamins like vitamin a and vitamin b12 help support a healthy immune system , made with antioxidant nutrients and minerals for optimal brain health "
1151," a grain-free formula that contains beef as it's first ingredient , contains pure probiotic strains to aid in proper digestion , calcium and phosphorus help your dog maintain strong bones while wholesome vegetables and fruits support optimal immune health , amino acids to support lean muscle mass and a healthy heart , made with added essential vitamins like d, b12 and vitamin a "
1152," all-natural whole food made with nutrient-dense muscle meat and organ meat with concentrates of select fruits and vegetables. , grain-free, gluten-free, and low in carbohydrates made with 90% animal ingredients. , unique source of highly digestible natural eggshell calcium and animal plasma. , highly palatable flavor with high levels of natural vitamins, minerals, and albumin and globulin proteins. , no wheat, corn, rice, soy, potato or chemically synthesized vitamins, minerals, trace nutrients, carrageenan, guar gum, or xantham gum. "
1153," a delicious blend of wholesome ingredients that includes animal protein and vegetables , the perfect option for a complete and balanced meal or makes a great topper for kibble , added salmon oil helps to maintain a healthy coat and skin , made without any corn, wheat or soy so dogs with food sensitivities can enjoy too , added vitamins and minerals like vitamin a and vitamin b12 help support a healthy immune system "
1154," formulated for dogs with food sensitives with one animal protein source and no grain or gluten.  ,  contains the fewest, most essential, easily digestible ingredients.  ,  includes healthy omega-3 and 6 fatty acids for a soft and shiny coat.  ,  delicious loaf provides a complete and balanced diet for all breeds and life stages, including puppy, adult and senior.  ,  made in usa facilities with no grain, gluten, potato, dairy, eggs, chicken, beef or fish.  "
1155," specially prepared for small dogs with meaty chunks in a savory sauce in single-serving trays. , real, deboned meat is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals. , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
1156," specially prepared for small dogs with meaty chunks in a savory sauce in single-serving trays.  , real, deboned beef is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
1157," safe and honestly sourced ingredients include real turkey as the first ingredient. , also includes real sweet potatoes, served in a delicious gravy that dogs find irresistible. , nutritionally complete recipe is packed with vitamins and minerals to support overall health. , grain-free formula gives your pet all the nourishment they need, and nothing they don’t. , made in the usa with no corn, wheat, soy, poultry by-product meal or artificial colors, flavors or preservatives. "
1158," perfect to pair with hund-n-flocken dry dog food or to be fed as a standalone diet , holistic wet dog food ideal for dogs of all life stages and sizes , formulated with grass-fed lamb, rich in iron and b vitamins to support your dog's overall health , no corn, wheat or soy which are common allergens for dogs , highly palatable option for selective eaters "
1159," canine vegetarian is a complete and balanced, selected protein canned food diet for dogs that is formulated for dogs with food sensitivities resulting in dermatologic or gastrointestinal signs. , proteins exclusively from vegetable origin help support digestive health and balanced intestinal flora. , added linoleic acid, zinc and biotin promote a healthy skin and shiny coat , formula includes key nutrients to help promote healthy skin and coat , helps prevent urinary related problems by controlling purine levels in your dog's urine "
1160," specially prepared for small dogs with tender bites of meat plus cheese and eggs in single-serving trays.  , real, deboned meat is the first ingredient with added vitamins and minerals. jump start the day!  , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , completely free of corn, wheat or soy or artificial preservatives, colors or flavors. "
1161," grain-free and limited ingredient formula , made with whitefish from the pacific waters of oregon, washington and alaska , fish is a high-quality source of complete protein, naturally low in sodium, and rich with essential heart-friendly omega-3 fatty acids, vitamins b6 and b12, niacin, phosphorus and selenium , free of the most common potential canine allergens: corn, wheat, soy, dairy, and chicken , nutritionally correct ratio of fruits and vegetables rounds out the recipe with powerful antioxidants, and fiber-rich low glycemic carbohydrates "
1162," complete nutrition for puppies features meaty bites of real, tender chicken plus whole grain oatmeal. , balanced protein and fat promotes optimal growth and nourishes healthy development. , nutrient-rich and flavorful recipe also supports a soft, shiny coat and healthy skin. , natural ingredients are carefully sourced from a trusted network of farmers and suppliers. , made in the usa with no chicken by-product meal, soy or artificial flavors or preservatives. "
1163," pate food formulated specifically for the nutritional needs of small dogs. try every flavor! , supports health throughout their longer life expectancy with complete and balanced nutrition. , nutrient-dense recipe helps to support their higher metabolism with high protein for strong muscles. , blend of antioxidants, vitamins and minerals support the immune system and overall health. , tender texture in savory juices is easy for small mouths to chew, in an easy-to-serve and portable tray. "
1164," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for puppies , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious beef and chicken flavors for dogs with refined tastes at any time of day "
1165," unique, real proteins of trout, venison and rabbit bring a tasty variety to your dog’s bowl. , featuring lifebits, a precise blend of vitamins, minerals and antioxidants formulated by animal nutritionists. , inspired by a naturally wild diet, this protein-rich diet caters to your dog’s inner carnivore with no chicken by-product meal. , made with an optimal blend of protein, fat and the healthy complex carbohydrates he needs to thrive. , crafted in the usa with no grains, gluten, corn, wheat or soy or artificial preservatives, colors or flavors. "
1166," premium 95% meat pet foods designed to mimic the archetypal, natural eating patterns of our carnivorous companion animals , one of the few natural canned pet diets on the market that is truly genetically appropriate , devoid of all the modern conventional pet food filler ingredients and additives, including starch ingredients , contains one of each canned variety: (1) beef, (1) chicken, (1) turkey, (1) duck, (1) rabbit and (1) salmon , suitable for dogs, cats &amp; ferrets "
1167," tasty and natural grain-free beef stew steeped in a hearty gravy in easy-to-serve trays.  , real, deboned beef is the first ingredient with added vitamins and minerals. , inspired by a naturally wild diet, this protein-rich recipe caters to your dog’s inner carnivore. , made in the usa with only real ingredients and never any chicken or poultry by-product meals.  , great for allergies with no grains, corn, wheat or soy or artificial preservatives, colors or flavors. "
1168," a delicious blend of wholesome ingredients that includes animal protein and vegetables , the perfect option for a complete and balanced meal or makes a great topper for kibble , added salmon oil helps to maintain a healthy coat and skin , made without any corn, wheat or soy so dogs with food sensitivities can enjoy too , added vitamins and minerals like vitamin a and vitamin b12 help support a healthy immune system "
1169," first ingredient is real, deboned texas beef for a leading 28% protein level. , also made with farm-fresh peas, carrots, sweet potatoes and apples. , formulated with dha to support healthy brain development in puppies. , added vitamins and minerals round out the complete and balanced healthy meal. , made in the usa in merrick’s own kitchen without corn, wheat, soy, gluten or grain. "
1170," natural, wholesome recipe with added vitamins, minerals and trace nutrients to keep your pup in peak health , with premium ingredients that include chicken, beef broth, beef, carrots, peas, egg, and flaxseed , highly palatable: even the pickiest eaters will love the taste and texture of this delicious grain-free meal , supports healthy digestion, enhanced bowel function, and muscle health , omega fatty acids found in flaxseed contribute to healthy skin and a shiny, lustrous coat "
1171," 18-can variety pack featuring two turkey-focused recipes , made with real turkey, pork liver, duck, chicken, and turkey liver , grain- and gluten-free for dogs with food-related allergies , fortified with important vitamins and minerals for well-being , complete &amp; balanced for everyday feeding "
1172," packed with tasty chunks of duck, diced carrots, peas and potatoes and smothered in thick, savory gravy. , made without wheat, a common allergy trigger for dogs or artificial flavors, colors, or preservatives , chelated minerals boost the immune system and biotin keeps the skin and coat healthy , b12 supplement improves gastrointestinal function , a sensible alternative to less convenient raw diets, which often require additional supplementation to be nutritionally complete "
1173," natural venison is the #1 ingredient, ideal for dogs sensitive to grains , include minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
1174," hearty stew-style canned dog food with deboned beef as the first ingredient. , this ancestral-style canine diet is packed with protein your dog needs to stay active. , includes essential vitamins and minerals for complete and balanced nutrition. , made without corn, wheat, soy or gluten for a wholesome recipe. , locally sourced farm fresh ingredients in the usa to ensure the highest quality. "
1175," natural, limited ingredient diet for dogs with food sensitivities or food allergies , high-quality whitefish as the first ingredient , does not contain grains, gluten or wheat , easily-digestible formula , nourishes healthy skin with flaxseed "
1176," unique, 2.8 oz bpa-free pouch is perfect for small dogs or dogs who need a little less than standard. this delicious recipe features select cuts of top quality beef and wild caught salmon in au jus , all of weruva's dogs in the kitchen formulas focus on high quality protein and moderate fat for a nutritious meal your pup is sure to love , recipe contains no grains, starch, msg, gluten or carrageenan so it's ideal for any pups with sensitive tummies or allergies , contains added vitamins and minerals to make this delicious food a complete and balanced diet , suitable for all life stages, can be served as a standalone diet or as a yummy topper for dry food "
1177," large, satisfying cuts of real organic free-range chicken and potatoes , usda certified organic formula includes minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , hand crafted in small batches with fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made in a certified organic kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
1178," evanger's organic turkey with potato &amp; carrots dinner is formulated to meet the nutritional levels established by the aafco nutrient profiles for all life stages. puppies, pregnant and nursing dogs may require 2-3 times above amounts, and reduced for less active or older dogs. , this product is certified organic by oregon tilth. this ensures that your pet is getting a quality food that is made with all natural ingredients. , not only does this product offer your pet a variety in taste, this gourmet dinner offers the additional nutritional benefits your pet needs. natural vitamins and minerals are blended with the all-natural meats for ultimate nutrition that are completely balanced meals for all life stages, ages, and breeds. , evanger’s cans are packed with natural, raw ingredients in their own natural juices. the ingredients are then cooked entirely inside the sealed can to lock in the nutrients and flavor of each variety. this process assures both wholesome nutrition for long life and good health, plus the great taste your dog and cat will love. naturally the best! , all evanger’s foods are made with premium-quality, highly-palatable and nutritious ingredients that will satisfy even the most finicky eater. with no soy, corn, wheat, artificial ingredients, harmful additives, preservatives or by-products, evanger’s canned meals are a perfect option for pets that have food sensitivities. "
1179," chunks of cage-free chicken with antioxidant-rich fruits and veggies in a delicious sweet potato stew , made with antioxidant-rich fruits &amp; veggies to support overall health and wellness , features glucosamine and chondroitin to help maintain hip and joint health , made without any grains, corn, wheat, soy, artificial colors, flavors or preservatives , chelated minerals for better nutrient absorption "
1180," made with the highest quality usa sourced meats , features flaxseed oil, which is high in omega 3 &amp; 6 essential fatty acids, giving your dog a beautiful, shiny coat , sweet potatoes are added for their low glycemic benefits. they double as a healthy carbohydrate that features benefits of beta carotene and antioxidants , vitamins and minerals are added to ensure overall health and wellness , made without any artificial preservatives, flavors or colors "
1181," formulated to mirror your dog’s ancestral diet with 95% venison and pork liver, plus 5% vegetables, fruits, and wholesome ingredients, and 0% grain and gluten.  ,  natural ingredients with added vitamins and minerals provide complete and balanced nutrition for all life stages and breeds.  ,  includes healthy omega fatty acids to promote a soft and shiny coat.  ,  delicious loaf texture comes in a variety of proteins that can be rotated to bring your dog great-tasting variety at the bowl.  ,  made in usa facilities with no grain, gluten, corn, wheat, soy or fillers or artificial colors, flavors or preservatives.  "
1182," high quality cuisine that provides unparalleled variety and enjoyment , formula provides complete and balanced nutrition in sauce formulated for adult dogs , fortified with vitamins and minerals to help dogs of all sizes to stay healthy , savory dog food is served in convenient trays with easy, peel-away freshness seals , features delectable delicious turkey flavor for dogs with refined tastes at any time of day "
1183," grain-free recipe, protein-rich recipe with 96% real beef , a hearty stew made with deboned beef as the number one ingredient , complete and balanced nutrition to add moisture and flavor to a dog's diet , modeled after the ancestral canine diet , provides the meaty nutrition your dog needs every day "
1184," deliciously made with finely chopped ingredients you can actually see like beef, carrots, peas, and barley. , provides a complete and balanced diet for dogs of all breeds and ages, even puppies. , enhanced with essential vitamins and minerals to provide all the nutrients your dog needs to stay healthy. , can be given as a meal on its own or used to top dry kibble to delight even the pickiest pups. , convenient freshness-sealed containers with lids are perfect for portion control and can be reused with no messes. "
1185," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
1186," all-natural, moist food that features premium chicken free of growth hormones and steroids, wholesome veggies including carrots packed with beta-carotene and vitamin-rich broccoli, flaxseed, and b vitamins to provide skin and coat health , slow-cooked to seal in nutrients and maximum flavors your pup will find irresistible , highly digestible protein that’s full of amino acids, fatty acids and minerals to optimize your pup's health , gluten-free recipe for pups with sensitive tummies , no added by-products or fillers, just wholesome ingredients "
1187," increased calories are great for dogs recovering from illness or injury who need to gain back lost weight , usda certified organic formula includes minimally processed fruits and vegetables that provide a source of antioxidants and vitamins , omega 3 and 6 fatty acids contribute to healthy skin and luxurious coat, and calcium and phosphorus ratio helps support healthy bones and teeth , hand crafted in small batches with fruits, vegetables and grains provide soluble fiber to help maintain a healthy digestive system , made in a certified organic kitchen without corn, wheat, soy, artificial colors or preservatives with probiotics to support digestion "
1188," a delicious wet food with 95% protein from wild caught tuna, and 5% protein from vegetables , nutritionally complete and balanced for dogs of all ages , limited ingredient recipe with absolutely no grains, glutens, carrageenan, or guar gum, in epoxy-free cans. a great option for pets prone to food sensitivities! , provides essential moisture to your dog’s diet , great for the whole furry family: this recipe is also suitable for cats "
1189," delicious shreds of chicken the first ingredient , made with green beans, cranberries, green lipped mussels, salmon oil, garden greens and turmeric , grain &amp; gluten-free, complete and balanced for all life stages , natural with added vitamins and minerals , no artificial preservatives, flavors, colors, guar, carrageenan or cassia gums "
1190," made from high-quality rabbit , 100% animal protein, absolutely no plant protein , free of soy, grains and glutens, no artificial preservatives, colors or flavors , single protein source fortified with vitamins and minerals , wholesome meat with no added carbohydrates, even the most picky dog will enjoy this carnivorous diet "
1191," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
1192," produced with fresh top-quality poultry, seafood and meats, which provides a healthy source of protein for your pet , also use fresh fruits and vegetables such as blueberries, cranberries, zucchini and artichoke to name a few, which are a great source of antioxidants, fiber, vitamins and folic acid , formulated to promote clean nutrition and protection for your pets from exposure to toxins and unhealthy ingredients , made with organic beef, fruits, vegetables, vitamins &amp; minerals for overall wellbeing , no artificial preservatives, colors, flavors, corn, wheat, or soy and made with simple &amp; essential ingredients "
1193," a delicious supplemental recipe containing 95% all natural, premium salmon. perfect as a kibble topper! , gluten-free, with no rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this smooth, meaty pate , provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
1194," a delicious recipe that provides complete and balanced nutrition for adult dogs and puppies , gluten-free, with no animal proteins, rendered animal fats or by-products, no added sugar, no carrageenan, and no corn, wheat, or soy , super palatable: your pup will go crazy for the taste and texture of this smooth pate loaded with nutritious ingredients like sweet potatoes, butternut squash, carrots, peas, blueberries, cranberries, and kale , provides essential moisture to prevent dehydration and help maintain proper urinary tract health , convenient, easy to open pull-tab can makes meal time quick and easy "
1195," this pate in gel has been precisely formulated for dogs over the age of 15 months. , it provides support against environment conditions like pollution, poor air quality, and environmental noise that can impact quality of life. , formulated with high-quality protein that's highly digestible and antioxidants that support developing natural defenses. , exclusive antioxidant complex containing epa and dha promotes your dogs health and vitality. , made in the usa! "
1196," 96% healthy protein-rich rabbit , grain-free and gluten-free with no artificial colors, flavors or preservatives , rich in dietary fiber, iron and omega fatty acids , formulated for rotational feeding. unlike a conventional feeding plan where the same food is served at each meal, rotational feeding involves varying the menu , with added zinc, copper and iron "
1197," the number one ingredient is great-tasting, real turkey that delivers amino acids to build muscle and maintain a healthy metabolism. , made without corn, soy or chicken by-product and formulated to be high in protein, this meal keeps your dog full and happy. , provides the fuel necessary to bolster aerobic capacity while ensuring long-term energy. , made with absolutely no artificial colors, flavors or preservatives. this high-quality food is produced in nutro's own facilities to ensure safety and quality. , nutro's dedicated team of experts tailor their formulas to your pet's life stage and health condition. they only use natural ingredients that they directly buy and can trace back to their suppliers. "
1198," made with organic, free-range turkey as the first ingredient plus a blend of superfoods for optimal nutrition. , this stew features modest morsel pieces designed specifically for smaller mouths so your small breed dog can enjoy the same taste and benefits as larger pups. , organic flaxseed, spinach and cranberries provide extra nutrition and health benefits in a mouthwatering meal. , all ingredients are marinating in a delicious tray of gravy that is sure to have your pooch counting the minutes until the next mealtime. , usda organic formula is made without at least 95% organic ingredients for a healthy and thoughtful recipe. "
