pos_review_title,pos_review_content,itemnumber,neg_review_content,maker,neg_review_title
No Nonsense Dog Food!!,"Tiki Dog has SO many healthy ingredients! It was recommended by my vet after my Boxer, Giada, was diagnosed with cancer. She was only 2 years old! She is now 5 and healthy. What I like most is that each ingredient is recognizable so I KNOW what I'm giving her. It looks like human food! She loves it and",49134,My Japanese Chin will only eat it once in a while. Expensive to throw out but I have to sometimes...,By Tiki Dog,Good Food
"Tasty, and works for my old guy's tummy","My dog is a big dog who is older, and we split a can of this over a few days, putting it on top of his kibble. He has gotten picky and peckish in his old age, but he really, really loves this stuff! We tried fancier brands but this is the winner, so we ordered a case. It came so quickly from Chewy.com",59980,Didn't realize that this was pate. Dogs love it but me not so much. Will try something else,By Newman's Own Organics,Decent stuff
My dogs like it,My dogs like this food. It doesn't seem to cause any distress.,46699,Buster eventually ate it but he wasn't a huge fan of it. The texture is pretty mushy and I add dino-vite powdered to his food which makes me have to stir it up even more and it ends up like a paste.,By AvoDerm,mushy
Great Product,"Nice addition to mix into food for my evening feedings, puppies have fattened up. Solid stools as well",121990,"THE PUPPY ATE IT AS A LAST RESORT BUT HE ATE IT, HE'S NOW BIG ENOUGH TO FIND SOME OLDER DOG FOOD TO FILL HIS BELLY",By Eukanuba,PUPPY NOT IN LOVE
Home delights,My furbaby love home delights meat lasagna because it looks just like what i make and smells like lasagna to i mix with casar kibble .,86039,"My dog does not like this flavor of Cesar's dog food at all. I thought she would love the Cesar's Meat Lasagna because I know how much she loves to eat cheese and I have given her small tastes of regular cheese lasagna. She hated it. And, since I bought a whole case of the food, now I will probably have",By Cesar,Don't bother
Zach and Ziva love Holistic Select Lamb Pate!,"My two German Shepherds, Zach and Ziva, absolutely love Holistic Select Lamb Pate grain free canned food and I love that it is wonderfully healthy for them. You can't find a food any better! It is the perfect consistency to mix with dry food as a topper. It causes no stomach upset either. The only reason",76647,My dog turns his nose up to this food. I have to mix treats in it just to get him to take a couple of bites. Guessing it tastes like tofu. Very disappointed. Hopefully the dogs at the shelter are hungry.,By Holistic Select,Just a sniff
Cesar Savory Delights Filet Mignon,"My dog, Sophie, likes this very much!! It seems to have ""real"" meat in it. She prefers this to the pate'. When I broke my leg in December, a friend took Sophie and ended up keeping her for three months. While on her ""vacation"" Sophie let her custodians know she was not fond of the ""pate"" types of Cesar's",86055,Hi my name is juanita i got my dog caser food she took one bite then she walked away i look down on caser food their was baby ants crawling everywhere my dog been sneezing alot and itching itake her baths but their still on her i clean mop everywhere and i keep seeing them on the floor crawling Dont ,By Cesar,My name Juanita
"VERY GOOD for ""Fishy Food""","I don't typically buy, fish items for my dogs although I know the Omega 3's are really good for him (Rocky-85lb. pitty mix) but, this one wasn't bad at all.  Had a slight odor (which I would expect) but, not overwhelming.  Dog loved it.  Gobbled it all down.  Clean Bowls=Happy Owners.  Great food for",76653,"This was a not agreeable for my dogs digestion.
We decided to stop giving it to our dog. This was the only option or move and leave him here.",By Holistic Select,Dog didn't like
"Great Price, Great Service",The food has been right on time and at a better price that it sells for locally.  We will keep ordering and recommending this to our friends.,86567,I was considering feeding this to my Dalmatian with food allergies and atopic dermatitis but Chewy's information doesn't match Solid Gold's. The ingredients are not the same and the calorie count is different.,By Solid Gold,Chewy's info doesn't match product's website
Very good quality ingredients,More meat proteins and good ingredients and less fillers. Good clean food.,77362,"This used to be really good! This last batch was off color, and paste! The label now says ""salmon and liver""..we won't buy again with this formulation. Too bad, why mess with a recipe?",By Wild Calling,What changed?
Rowen Hunter.....loves,"Well I can't lie I was worried!
Rowen my 5 pound Chihuahua has only been eating Merrick turkey and pork for a long time when I found out that his food was discontinued I had my worst nightmare come true!
What will he eat without having GI upset with blood yes blood my poor little guy....
Chewy staff",85499,"I have purchased the Funky Chicken Chicken Soup by Weruva a couple of times, and my dogs really liked it, so I thought I would try another flavor.  Unfortunately, this was nothing like the Funky Chicken!  The Funky Chicken was thick and filled with a substantial amount of meat, but the Peking Ducken ",By Weruva,"Great brand, but this was not the best"
Love This Product!,Wonderful supplement.  My puppies love it and I love giving them such a quality food.  It keeps their digestion running smoothly and that's a win win for us all.,59463,"I sent a case of this food to my son’s dog for Christmas. I live in Illinois and they live in Maryland. Adam said “Bacon” has never eaten better in his entire life. He doesn’t get it every day - every other day or so, mixed with his dry food. Thank you!!!",By PetKind,This product my son’s dog loves!
They had great poop after eating this food,Dogs loved it like it was a treat! Usually cook fresh but now i have this food,51107,"My dog loves Chewy, he even knows the boxes when they
come to us super fast. He has tried about 25 middle to high
priced dog foods and has loved them all. But he wouldn't even
taste this one,  Duke does not recommend.",By Precise Holistic Complete,Dog didn't like
Thank God for Chewy,my doggie has health issues and this is one of a few foods she can tolerate. can't find it anywhere else. pet stores here stopped carrying it. thank God for Chewy,76685,When I saw BB 27 Aug. 2017.  I was not happy. It is September now. and I bought it as a case.,By Wellness,disappointment
Poultry free,"One of my 9 rescues requires poultry free food .he's also a very picky eater . I've tried the high priced food and he wouldn't eat it . At this price I can afford to feed all six of my bullies a no grain , poultry free food . It also makes a great mixer with their kibble .",79617,Sadly my baby did not like it at all. He wouldn't even smell it twice. Therefore I would not buy again :/,By Triumph,To Good To Be True
my dogs and cats love this food,"I started using this food when one dog gained weight after a fractured knee and ligament tears.  She needed to have high quality food but keep weight off to help heal after surgery.  She loves the food, and I started feeding it to my outdoor dog, too, and now she looks shinier and never leaves food in",59824,My cat is a Bengal... for some reason he does not like this food..,By Evanger's,Cat doesn't like it
Solid Gold is awesome dog food,I adopted a German Shepherd with serious health problems including hip dysplasia and luxating patellas. When he got here he was covered in scabs and very little hair. I put him on Barking at the Moon dry kibble and a can of the soft. He bounced back within 3 months. I have been using Solid Gold for nearly,86565,"when solid gold changed the label-whitefish was added to ingredients. the calorie count went from 582 to 406! I noticed the texture is softer (more liquid) I still believe its quality food, but I have to find something with higher calories for my skinny girl.",By Solid Gold,CHANGED IT!
My pups love this!!!,"Grain free, Organic and easy to digest!!! 
My pups love the beef sausage, beef tripes and the venison.",65682,"I was looking for a wet food my babies loved, but this was not it.",By Castor & Pollux,"Great quailty but, my babies won't eat it."
Zach and Ziva love Dave's!,"My two German Shepherds, Zach and Ziva, love Dave's grain free canned food and I love that it is very healthy and doesn't break the bank! It is the perfect consistency to mix with dry food as a topper. It causes no stomach upset either. I do wish that Dave's would remove carrageenan from all its canned",136572,My dogs wouldn't touch it and I bought the turkey bacon and pork. I'll be donating this dog food to a shelter.,By Dave's Pet Food,My Chihuahuas wouldn't touch it and I bought the turkey bacon and pork. I'll be donating this dog food to a shelter.
Kady eats this before her desert!,"Our kitchen and living area is on the 2nd floor.  I started feeding my 2 dogs separately when my sweet George's hips could no longer climb stairs.  So, Kady is upstairs and gets her dinner with her biscuit, for desert, on the side.  As I head downstairs to feed George, she would always gobble up her ",108329,"MON. 10-2-2017   11:31 A.M.  I RATED THIS 1 STAR BECAUSE EVERY CAN HAD ONE SIDE OF SOLIDIFIED FAT---SO HARD I THOUGHT IT WAS PLASTIC (ALSO IN NEWMAN'S ORGANIC BEEF CANS).  I WILL NOT ORDER ANY NEWMAN'S DOG FOOD AGAIN.    I LOVE CHEWY.COM, THOUGH.    
THANKS,  CAT",By Newman's Own Organics,NO I DO NOT RECOMMEND THIS DOG FOOD !
Dogs Can't Get Enough,"My two dogs LOVE this fish food best of all the Avoderm flavors available. I like that it's a chunky stew cause you can see the carrots & peas. I do mash it a bit cause my guys are small (silky Terrier & Chi/Russel mix) but, no matter what form it's in, they can't get it down fast enough!",65249,I have 2 dogs 1 is 6 and 1 is 5months. Both dogs do not care for this at all. Which is shocking since they love all the other flavors. They won't eat it at all. I donated the rest that I had to a shelter.,By AvoDerm,Dog didn't like.
Wellness can food,"My 9 yr old yorkie has been eating this all his life.  Great price and convenient shipping,",87687,"I know this is an excellent product per the label, but my 6 month old puppy is not interested, so I would not purchase it again. I am mixing it with real, boiled chicken because I hate to throw it away and everyone I know who has dogs, don't feed canned to their dogs.",By Wellness,Seems too bland
Great Food,I like the Wild Calling brand in general but the Duck is probably my favorite in consistency. I try to alternate this with other varieties of W.C.,77368,"I ordered the cow and duck. Our dog loved the cow, but wanted nothing to do with duck. Finicky?.",By Wild Calling,"First, check with your dog"
"Real Food, Real Ingredients",My dog Star loves this food and I love that I can see all the meat and veggies.,86951,"Instead of a stew consistency, this food is made up of balls of beef sausage .  My dog seems to like it ok , I just expected it to be more stewy.",By Merrick,Not what I expected
Nice Consistency,"I purchased this to give my dog a variety of food. I also feed her the duck, fish and beef of Wild Calling.  I found the consistency of this food to be almost identical to the beef. It is extremely smooth mousse but firm.  I put my food in the refrigerator because I think it helps the consistency.  The",77360,Agree with review below.  The formula changed and my dog does not like the food as much as before.  Color and consistency looks terrible as noted in the picture from a previous post.  I hope they go back to the old formula.,By Wild Calling,Bad Formula Change
Happy to have found a replacement salmon food!,She loved this food the first time I fed it to her!! Nature's Recipe discontinued the tuna and ocean fish flavor and am so happy to find this product. She has allergies and can only eat salmon or any other fish products. I love the texture and you can definitely see the salmon chunks!!,49137,"Of the three flavors I ordered of Tiki Dog, this one is the stinkiest and the one that my dog doesn't eat immediately. (in 2.2 seconds) He likes it which is important, but I will not be re-ordering this flavor, because it is so smelly. Regardless of how much he likes it.",By Tiki Dog,Stinky Food!
Best food I've tried,"I have 2 rescue terriers. 1 has diabetes and the other severe allergies.  After many failed attempts, this is the food that they can both eat and LOVE.  it's been such a relief to discover Nutrisca!",50942,My dog will not eat it!!! I tried and tried. Sooooo disapointed.,By Nutrisca,What to do with this big bag????
12 year cockspoo LOVES this!,"I have tried many, many different types of dog food over the years. Chloe is very picky about what she will eat. She likes several Weruva  products but not like this one . She devours it and licks her plate clean! So relieved to find a high quality, healthy, lower fat product she loves",55590,"I have heard great reviews about this product. I had it for a foster dog last year and he loved it, but my own will not eat it. They are so picky and I have tried hundreds of brand name dog food. I feed the Chihuahua's on the horse who live behind me, otherwise, I would just be throwing money away. BTW",By Weruva,My dogs are just too picky
My dogs FAVORITE!,"I have a 13 y.o. Beagle with IBS and 7 m.o. Chihuahua mix rescued puppy with tendency to diarrhea. I cannot tell you how many different brands and flavors I have tried. None of them agreed with my dogs stomachs and were liked by them as much as Lamburgini! They both are crazy about this food, lick their",91024,"My Chihuahua turned up his nose on this one, refusing to eat it. He loves the other Weruva wet food, but this one got a ""paws down"" vote, I am sorry to say.",By Weruva,Not too tasty!
Perks up even picky eaters !,"My  dog is very picky and wants only human food, but topping his regular dog food with Evanger's Buffalo seems to stimulate his appetite and he eats it readily along with his regular food. It's
great !!",52615,This food looked odd. It was oily almost like mineral oil was added but not mixed. None of my 4 cats would touch it and immediately walked away. I gave the rest of the cans to a friend who rescues dogs and she said the dogs liked it.,By Evanger's,cats hated it
Pups love PetGuard,My dogs love this food. I have a Pitbull mix that's a vegetarian and she loves this food.,52560,"I love the idea of this food... I really want to love this food. It's organic, it's sustainably vegan with a nice range of supplements, my dog seems to like it. It's just that, it's not user-friendly; it's entirely too dry in that it seems to fling out when I try spooning it out of the can. I had been",By PetGuard,I want to love it...
"So good, so tasty",Cubby loves this meal and I do too because it is so easy to keep and serve. I'll be trying others in this line of pouches.,91010,My pups don't really enjoy this.  they will only eat this if I don't give them anything else.,By Weruva,It is  so so
Great wet food,I really like the 5oz cans of this for my dogs. They love a little something mixed into their dry food so I split one small can amongst their 3 bowls of kibble and they now always gobble up their food instead of leaving it there for hours.,79634,"Fur baby Yorkie who normally very picky, ate it up, Fur baby Toy Fox Terrier sniffed it then wouldn't touch it, normally he will eat any kind of wet food.   It doesn't have a bad odor,  I won't be ordering it again.",By Triumph,"The Picky one likes it, the other doesn't."
My chihuahua loves it!,"Due to my dog's mainly yeast triggered itching, was looking for a non- kibble gf 1 ingredient food with a low fat percentage. This Canine Caviar Goat fits that bill better than anything else I found. I've noticed after just a week without any yeast-feeding potatoes, she's scratching much less already",108518,"I got this due to the short ingredient list and the fact that goat is usually low in fat.  I've fed them goat products in the past and their raw goat food is one of their favorites.  They weren't crazy about this.  They will eat it, but they aren't overly excited  I also had a couple of dented cans in",By Canine Caviar,Good Limited Food
"Oops, what went wrong?!",Love this product and would have given you 5 stars but for so many damaged cans. I was surprised to find over a quarter of the case were badly squished. Have sent photos to Customer Service.,71336,my dog did not like it at all I had to throw it out,By Health Extension,it did not have great features
My cats and bichon frise love this!,"I mostly feed this to my cats. They are older and one has too many digestive problems with other cat foods, I had to take them off of Blue Buffalo. I still feed them kibble (Merrick) for vitamin and mineral supplement. My dog has a spoonful on top of her food, she eats that with her Blue Buffalo as a",47323,My cat is sickly so we try to buy him the healthiest food but he is so picky he refuses to eat it.,By Evanger's,Cat won't eat it.
He does like the taste.,"The French rabbits are one of his favorite flavors. The consistency of the product is itself good. 

 However, there is a substantial amount of liquid included with the meat. When you drain it through cheesecloth and press it as you would cheese. You definitely are not getting that 13.2 ounces of product",120822,My puppy loves this stuff but it gives him mucousy poo. I don't love the company. Ask them where they source vitamins and minerals from and they will tell you basically every continent in the world but for Africa. That means China. Rabbits are sourced from France ... At least that was the case when I,By Instinct,Too rich
Best Wet Dog Food,"My pups luv Ziwipeak!! The ingredients are of the highest quality!! Everything fresh, no by products or undesirable ingredients like carrageenan or tripolyphosphates just to name a few!! BPA free cans!! Won't feed my pups any other canned food!! It is a great addition to their rotational diet of kibble",114612,When I look at the ingredients listed on the can the first ingredient is venison broth. Chewy.com says it's venison meat. Also venison heart is absent from the can whereas chewy lists heart in the ingredients. Has the formula recently changed?,By Ziwi,"Confused, the listed ingredients on the website are different than on the can"
Real Food for Dogs,"I love this company, no long list of ingredients on the label that don't survive the cooking process. I supplement their raw diet with this and their kibble Just for my ease of meal prep. Dogs love it so much they would open th can if they could. My Shepard has severe food allergies and this food is ",83375,"The ingredients look fantastic. The problem is the packaging. Didn't even want to try feeding this to my cat after noticing very quickly that can after can after can shows signs of RUST.

Two paws down.",By Wysong,Rusty cans? No way!
Good food for my senior dogs,"My picky seniors like Dave's food, and especially the chicken & rice recipe.  I'm glad I discovered this line of food at Chewy's.",66593,"I was very disappointed that the cans need to be opened with a can opener. Prior to this purchase, I was buying the cans at my local pet food store and the lids pulled off. I am not sure I will purchase from here again. I feel the description of the item should have mentioned the can lids not being able",By Dave's Pet Food,No pull off lid
"Dogs liked it, Mary","Dogs liked the change, they like something different sometimes & this was like a treat for them. I usually use the Chicken,***** Mashed Potatoes & Gravy are good but you wouldn't want them every day after a while. Huh!!!!! ?",71319,"Love the actual product, my dogs both seem to enjoy the taste and consistency of this food but sadly all the cans that were on outside corners of box came so dented that was almost impossible to even open cans",By Health Extension,Arrived dented
Meatballs for pills,This is the only product that camouflages my sick dog's pills. Unlike cheese or pill pockets she does not tire of them so we do not have to force them down. Makes the process much more pleasant for both of us. 4 months and counting!!,50773,"Evangers makes great dog food. However the cans were rusted, dented, and looked terrible. There were even mouse droppings on some of the lids. Unfortunately I will not be purchasing this food again due to this issue.",By Evanger's,"Great food, terrible packaging condition"
Convenient and no leftovers,"The container is easy to open, use and dispose of and my dog simply loves this food--no leftovers ever.",98911,"My maltesse tea cup babies are very picky. The fact that for the first time EVER they eat it was such a relief. Maybe they just no not like lamb (like their mother). I will try next time the ""Itsy Bitsy Beef "" I will let you know how it goes.",By Merrick,They eat it. Can not say they love it.
Halo Dog Food,My dog loves the Halo products and it is healthy for her.,77040,"I was stunned that both of my dogs hated this food. They wouldn't even take a bite! My Chi just licked it once and walked away. Usually Halo is a bit hit, but not this flavor. Expensive fail for sure! Very disappointed they wouldn't even taste it.",By Halo,Not one bite
Old man food,Started my 16yr old Mini Schnauzer a few weeks ago. He really likes it and I mix it with the same brand of dry food. Got this to see if it would help him urinate less and with ease. So far so good.,76638,Tried this food based on all of the great reviews. Opened the first can and there was a large glob of greenish slime in the can. Since it wasn't on the perimeter I'm unsure if it was fat around the edges or something else but based on the consistency I wasn't going to try to guess and threw the can away,By Holistic Select,Will not buy again
Great product!,What I like most about this product is that its a stew. Other canned foods look and smell disgusting. This one you can actually see the chunks of meat and all of the vegetables.,89217,"This food is a rich hearty stew with mostly meat and veggies, not so much gravy, unlike like the other stews we have tried. It does not smell bad! My dog loved it at first as a topper to his dry food, but refused to eat the second shipment we received. Not sure what changed but we have moved on to a ",By AvoDerm,Was great at first!
Outstanding and Consistent Product,"My pit-mix loves this food. She had been on Fromm for several years. When Fromm discontinued working with Chewy, we gave this a try and no longer look for Fromm products.",77358,"I have purchased Wild Calling canned food in the past and my dogs loved it. Great quality food. This is the first time purchasing pork flavor. The first case I received, the consistency was complete liquid. Chewy so graciously sent out a replacement case right away. That second case was almost as bad",By Wild Calling,Soupy consistency
Purchased for my mother's lab..,"Mom has fed dry Nutro Ultra to her Chesapeake and Lab girls for several years with good results heath wise, and recently added a little of this canned to her Lab's diet after her Chessie passed away at age 13, and her Lab girl didn't want to eat. She has regained her appetite with the addition of the",48401,"The 'chunks' in this canned food seem a mystery - not obviously meat (the ingredients suggest chicken but???) but the vegetables are obvious. The cans are tightly packed, with a minimum of gravy (we add water to mix with dry food) and a seemingly tomato base, although this is not evident from the list",By Nutro Ultra,Not the best we've tried.
"Great product, great company",Chewy.com is a great place to buy food. Wild Calling dog food is a great product. I would highly recommend.,77364,Just a warning.  I think wild calling is changing some of its formulas.  My dog use to love the Turkey Trot.  Now with the latest batch she won't even try it.  She is not a picky eater at all.  The same thing happened with the Salmon formula in the past.  She still loves the Bison formula.  I hope they,By Wild Calling,Dog used to like it. Now won't touch it.
Purchase of canned food.,"Chewy.Com has been wonderful so far getting the product I need for our dog. A lot of time the store I normally purchase only carries a certain amount, which therefore makes us have to make several trips then to get the amount. Also pricing is much better to. Thank you Chewy if I wouldn't see your ad ",94147,"I was fooled. Technically it is chunky, but I was expecting whole muscle meat, which this is not. It is a ground product shaped into irregular size chunks, average 8 chunks per can. The rest is a gravy looking substance that my dog does enjoy. As for the ""Chunks"" he looks at them, then at me as to say",By Merrick,Is it chunky? Kind of...
Good product,"We have been using Evander for several years now.  It was excellent, very pure.  I lowered the rating to a 4 due to the recent batches.  For about 4 months now, the fat in the can is excessive.  I know Lamb is high in fat but it never used to be in the cans like this",47325,"I was a bit concerned when I saw the 'look' of the food when I opened the first can, but it had been recommended on Dog Food Advisor. THEN shortly after I got the food I received a recall alter; not for the flavor I purchased but others in the product line. That's it for me; no more Evangers.",By Evanger's,Too Many Recalls
Our dog Mackenzie loves it!,"I know that this product is more expensive than most, but it has certainly been worth it. Mackenzie was very sick and not eating. I thought I'd try Weruva, as I feed it to my 2 cats. She dances when she sees it coming and licks the bowl clean! It is very high quality food.",55584,"Having read the other reviews for this product, in particular, and Weruva, in general, I really, REALLY wanted to like this canned dog food. But, the long and the short of it is that only one of my 2 dogs likes it, and I am just not wow-ed by this product.

I really like that Weruva makes their products",By Weruva,"Dogs 4.0, Mom 3.0"
This stuff is magic!,"I have one dog with acid reflux. I feed her half this and half of a regular beef canned food. This stopped her problem cold. My other dog will skip meals on occasion. Normally, that's not such a big deal for dogs - but when SHE skips a meal she gets sick and vomits up bile. The Green Bison Tripe ""cured",71101,I am sorry but the dog food smelled so bad my dog wouldn't eat it. My family had me open the second can different flavor outside and my dog would not eat it either. But some dogs may like it and dogs with extreme food allergies it is great for them. Just not my dog.,By PetKind,tripett canned dog food
Good Stuff,This seems to be a really excellent product and doesn't give any nonsense about being grain free. Most dogs don't need a grain free food but it's the latest selling hype. Forget it. This is good stuff. Look online for independent reviews and you find good ones for this brand.,47190,"None of my 3 dogs liked this product. 
It is a very moist pâte most suitable for mixing with kibble.

Two of them will eventually eat it but don't like it.
The third totally refuses to eat it and will choose to go hungry every time it is presented for a meal. I usually mix it with a beef kibble (",By Eagle Pack,DOGS say Thumbs Down
Instinct Wet Food,All Natures Variety Instinct cans except the Venison formula have a lot of fluid in the can which is actually broth and very healthy. It's simply necessary to mix the food together before pouring it out of the can. We love the food because of that and because of the high quality ingredients. We rotate,120821,"NOTE - there are only 6 cans in a case of this food at a similar price to the old 12-can case!!!  Also, there is a large amount of liquid in the can and a smaller loaf of food.  My fault for not noticing there were only 6 cans, but at over $25, I just assumed it was the old 12 cans.  This is an EXCESSIVE",By Instinct,Beware New Packaging
Dog likes this but doesn't digest it well.,"My very picky and sensitive Irish Setter likes this Stew, however he seems to have some stomach upset the next day. I also supplement him with dry dog food, Salmon Castor & Pollex that he also loves. Allergic to Chicken and other things, I have a hard time with his canned food, price wise to me and  ",89297,My dogs have this a mixed review.  Some were not interested to eat it.  No pup ate with relish.,By I and Love and You,I and love and you canned dog food
ZiwiPeak Daily-Dog Beef Cuisine Grain-Free Canned Dog Food,ZiwiPeak Daily-Dog Beef Cuisine Grain-Free Canned Dog Food is great my dogs love it. As soon as they hear the can they come to the food bowl and wait.,113395,Unfortunately my dog did not like this food at all. Texture and smell was not appealing. Expected better.,By Ziwi,Was not impressed
Great food!,Tried this brand and flavor while my dog was recovering from a stomach issue after discovering he had a chicken and beef intolerance.  The whitefish and sweet potato is perfect for him and causes no issues.  Quality is good and price is reasonable.  We travel frequently so I make sure we have plenty ,49227,"Good ingredients, but the smell was awful and the dog barely touched it. Recently tried the Venison & Sweet Potato and she liked that. I'm kind of glad she doesn't like this one because of the smell :)",By Wellness,Really stinky and dog didn't like
My dogs do well on it,I'm trying one more pate fish based canned along with Dave's which I feed 90% of the time.  I try to keep one other in the mix in case I have to switch for any reason.  I had used Canidae's fish but it has been OS for a good while.  I tried others but were not paté and my SP liked them less with gravy,136567,"I'm sure this is a quality product with quality ingredients, but quality does not matter if your pup won't eat it.",By Dave's Pet Food,She does not like it
My 9 year old Rotti loves this,"My boy just loved this food, a little mixed in with his kibbles and he is back to looking forward to meal time",86743,"Along with 75% of the cans being dented in the 4 dozen we ordered, the food itself was pretty gross. My dog will eat anything, but the texture of this stuff was pretty sticky and nasty and hard to get out of the can. We'll see how our second order goes end if the quality is this low with both the food",By Nutro,Meh quality
amazing dog food!,"finally a wet dog food without rice and potatoes, in the process of treating my dog for a yeast infection in her gut, i have tried so many things through chewy that have not worked and chewy allowed me to trial and error their products. they refunded every order i was unhappy with and we were able to",66598,"This food is really runny, but it is a quality dog food.",By Dave's Pet Food,Canned dog food
Love My CN!,"What's not to like?! Ordering was simple, it arrived the next day, Jesse is happy and so are her people.",92027,"I bought this because I needed syringe-able food for my dog. He has a PEG tube. This food flows easily through the syringe, so that is good. But then I looked at the ingredients on the can. Loaded with animal by-products. you pay a lot of money for quality dog food and this is full of by-products. Its",By Purina Pro Plan Veterinary Diets,Look at the Ingredients
We Will Never Switch Again!!,"My dog loves this stuff!! It is rather expensive because it is made in a human-grade facility and is GMO-free, grain-free, gluten-free, carrageenan free, and BPA free.  I thought I would try another brand....it just made my dog's colitis and acid reflux flare up...so we are back and won't ever switch",91004,"Sophie's veterinarian said absolutely no food from Thailand-EVER. Oh, dear. Had already ordered a case so he said to feed a tablespoon with usual wet food (Merrick or Instinct) and watch closely. I guess the Coton de Tulear has good digestion because a small amount each day is fine, so will continue ",By Weruva,Thailand not mentioned
Good food for choosy eaters,My dogs are picky but they love Dave's canned food.  They especially like this flavor,66640,"I rotate brands, for every meal. This flavor contains Carragenan, therefor it is not rotated in very often.",By Dave's Pet Food,"Product is above average, but..."
Dogs love it!,"I was skeptical after reading reviews about the sausages, which are more like meatballs, being too big. We have one medium size dog and one larger lab. I cut the meatballs in half for our smaller dog but really don't need to. They both love the taste of this food. Our smaller dog is very picky, so was",65672,"I'm giving 3 stars because Castor & Pollux makes a good product.  But my dogs didn't care for this flavor.  First - chunks are huge.  My dogs are 18 lbs, 35 lbs and 48 lbs, and these chunks are too big and they are hard to cut in half because they are slippery!  Have to use a knife and fork as you would",By Castor & Pollux,OK - BIG sausage chunks
Good quality product,"My local pet store stopped carrying Evanger's a couple of months ago, so I was very excited to find it on Chewy AND explore some new flavors for my cats. They mainly eat turkey and chicken based canned food, so I try to supplement their diets with more exotic sources of protein. So far they've been loving",109690,"I was so excited to find another choice for my cat's dietary needs.  He absolutely loved it.  However, cats become finicky so quickly, and now he does not touch it.  

The manufacturer is a quality company, when it comes to cat food.  I spoke to the owner, and I was quite impressed when he called me",By Evanger's,Healthy Food:
My dogs love this food!,"The smell isn't overwhelming when reheated like the salmon. I only wish it came in the smaller cans, my dogs are little and I always end up giving them a bit too much. Not that they mind.",95947,My two pits always have blue buffalo wet food and always love it. Except when I bought this one for them they wouldn't hardly touch it!!! I dont know why but definitely wouldn't buy it again.,By Blue Buffalo,no the best
Reviewability,"Am just a new first time buyer and it was so nice having the food delivered instead of having to haul it around and up stairs. Only comment: I know that old product needs to be sold first but this product is quite soupy and not firm like that purchased at pet store. Hopefully, this will improve quickly",47567,This food is very soft and our dogs really didn't like it.  Tried because of nutritional review and mixed with kibble to change consistency.  Two cans arrived bloated in the case (though not expired) and that concerned me on the quality.  I wouldn't order this again though it is likely a good food per,By Halo,Unfortunately not liked
Great food for gestating dog,"My dog lost her appetite in the last 2 weeks of her gestation due to size of puppies compressing her stomach. I was at a loss on what would make her keep eating. I took a chance on this and it works. Her mouth literally drooled when I opened up the cans.
Unfortunately this causes food pickiness afterward",52401,"This food was very palatable, puppies loved it. Having 8 wolfhound puppies it goes very quickly and is too expensive for me to feed, other than the initial case. Would probably be good for smaller puppies and litters.",By Royal Canin,expensive
love this food!,"My puppy LOVES this food. We mix it with her dry Nutro food and she always cleans her bowl. Since we have started feeding her Nutro, her coat has gotten shinier and she has gone through a big growth spurt.  I love the quality ingredients and you get great quality for the money.",86737,"First INGREDIENT  IS CHICKEN  BROTH
SINCE WHEN DOES CHICKEN AND TURKEY MAKE LAMB
VERY DISAPPOINTED IN NUTRO",By Nutro,LAMB is not first ingredient
Merrick Homerun,Another great wet food from Merrick! My dogs love all of the Merrick grain free foods. Healthy and delicious!,77014,The several cans I have opened so far have all contained large chunks of potato and little to no turkey. Alot of money for white potatoes in a can.,By Merrick,little to no meat/turkey
My dogs love this food!,"My dogs love this food, I used it when I ran out of the frozen prepared food and it didn't cause any stomach upset at all and he was happy to eat it!",91020,"This one is still a question, I think the pumpkin turned her off.  I will keep trying since we have a case of it but the jury is still out.",By Weruva,Ms Picky Eater
looks delicious,"I bought this wet food for my yorkie (she normally eats solid gold dry dog food) to mix it with her dry food.  She loves it. Is looks delicioius, it looks like human food, and it smells sooo good. It has chunks of tender chicken in a thick gravy. When she sees me trying to open it, she gets impatient",98699,tanner my dog dosent really like that kind so its just sitting on my kitchen table in the same box it was sent in sorry,By Solid Gold,my dog tanner dose not like it
Mmmmm Patches says Mmmmmmmm,"Patches cannot wait till I put his dinner down.  
Wellness wet food has always been our choice but 
this one is the winner in my little doggie friends belly.....",76673,"I have ordered this in the past several times to great satisfaction. However, for some reason this was a really bad batch...half the package weight was gravy/liquid and the solid food was mushy not chunky. Very disappointing.",By Wellness,Half liquid gravy other half mush
Wiggles Approves,"My small dog is a huge fan of the Weruva wet foods!  Since her owner has always given her human food, she loves the whole ingredient chicken & salmon/fish varieties.  She recently started protesting her healthy dry food, and so a spoonful of the wet mixed in makes her excited to eat and a small can lasts",51245,"The food looks like it could be for human consumption. My dogs are so fussy when it come to better dog food. The enjoy Iams can once in while, but I try to keep it very healthy for them. Weruva is a good brand, and my dogs like veggies. However I believe the veggie size in this can are to big for my ",By Weruva,Veggies to Big
Cooper loves it,I bought this to add to my dog's dry food (same brand) and he loves it. He needed to gain some weight and he looks better after just a few weeks. Cooper looks for his meals now--,91530,"I thought my Buddy would like this since I normally bake fish filets for him and he devours them.  The consistency is sticky, gluey and he won't eat it.",By Zignature,My dog won't touch it
